index, name, representative, domain, area, website,
"101"," 우림복지재단"," 조규남"," 교육지원, 문화교류, 아동결연"," 라오스, 미얀마"," http://www.urimwelfare.or.kr",""
"102"," 유니월드인터내셔날"," 홍명희"," 아동결연, 청소년직업기술교육"," 케냐, 필리핀"," http://uniworld.or.kr/",""
"103"," 함께하는사랑밭"," 최성균"," 교육지원, 학교환경개선 사업"," 캄보디아, 스리랑카, 대만, 에티오피아, 몽골"," https://www.withgo.or.kr/index.do",""
"104"," CTS international"," 감경철"," 식수지원사업, 자립지원사업, 건축지원사업"," 탄자니아, 차드, 우간다, 캄보디아, 라오스, 필리핀"," http://www.ctsi.or.kr",""
"105"," 국경없는과학기술자회"," 김용수"," 적정기술연구개발 / 국제교류 / 교육 / 해외봉사"," 캄보디아  베트남 미얀마 몽골"," http://www.sewb.org",""
"106"," 글로벌비전"," 이정익"," 지역개발, 취약계층 교육 및 의료보건사업, 아동교육, 소득증대 사업"," 베트남, 미얀마, 라오스, 방글라데시, 캄보디아, 네팔"," http://www.globalvision.or.kr/",""
"107"," 아름다운커피"," 서경표"," 커피품질개선, 협동조합을 통한 비즈니스 역량강화 사업"," 네팔, 페루, 우간다"," http://www.beautifulcoffee.org",""
"108"," 온해피"," 배인식"," 교육지원, 영양식 지원"," 탄자니아, 케냐"," http://www.onhappy.org",""
"109"," 아시아위민브릿지두런두런"," 장필화"," 여성 기술교육, 취약계층 여성 취･창업 지원"," 네팔, 캄보디아"," http://dorundorun.org/",""
"110"," 아이들과미래"," 이훈규"," 교육환경개선, 유소년축구구단지원"," 말라위"," http://www.kidsfuture.or.kr",""
"111"," 아시아재단"," Dylan Davis"," 역량강화(연수, 펠로우십)"," 몽골"," http://asiafoundation.or.kr",""
"112"," 실로암시각장애인복지회"," 김선태"," 재활지원사업, 장애인교육지원 등"," 라오스, 몽골, 오즈베키스탄, 키르기스스탄 등"," http://www.silwel.or.kr",""
